"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2019","1.760","1.750","1.790","1.740","1.19M","1.73%"
"Apr 29, 2019","1.730","1.780","1.790","1.730","891.70K","-2.81%"
"Apr 26, 2019","1.780","1.770","1.780","1.740","1.07M","0.56%"
"Apr 25, 2019","1.770","1.790","1.790","1.770","373.50K","-1.12%"
"Apr 24, 2019","1.790","1.790","1.840","1.770","946.00K","0.00%"
"Apr 23, 2019","1.790","1.820","1.820","1.760","2.21M","-3.76%"
"Apr 22, 2019","1.860","1.690","1.870","1.670","7.44M","12.73%"
"Apr 19, 2019","1.650","1.650","1.700","1.630","3.05M","0.00%"
"Apr 18, 2019","1.650","1.650","1.660","1.600","3.92M","-1.20%"
"Apr 17, 2019","1.670","1.770","1.770","1.650","2.76M","-5.11%"
"Apr 16, 2019","1.760","1.760","1.760","1.710","1.12M","2.92%"
"Apr 15, 2019","1.710","1.810","1.820","1.710","1.65M","-4.47%"
"Apr 12, 2019","1.790","1.830","1.860","1.760","2.89M","-0.56%"
"Apr 11, 2019","1.800","1.840","1.840","1.710","3.72M","-2.17%"
"Apr 10, 2019","1.840","1.840","1.880","1.800","2.03M","0.00%"
"Apr 09, 2019","1.840","1.760","1.880","1.760","7.80M","4.55%"
"Apr 08, 2019","1.760","1.660","1.770","1.660","3.71M","7.98%"
"Apr 05, 2019","1.630","1.620","1.660","1.620","1.42M","0.62%"
"Apr 04, 2019","1.620","1.600","1.640","1.600","1.41M","0.62%"
"Apr 03, 2019","1.610","1.600","1.630","1.600","1.10M","0.62%"
"Apr 02, 2019","1.600","1.620","1.630","1.590","769.80K","-0.62%"
"Apr 01, 2019","1.610","1.570","1.630","1.570","1.06M","2.55%"
"Mar 29, 2019","1.570","1.570","1.610","1.570","472.10K","0.64%"
"Mar 28, 2019","1.560","1.570","1.580","1.550","182.40K","-0.64%"
"Mar 27, 2019","1.570","1.540","1.580","1.530","707.40K","2.61%"
"Mar 26, 2019","1.530","1.530","1.540","1.520","215.50K","0.00%"
"Mar 25, 2019","1.530","1.510","1.550","1.510","371.70K","0.00%"
"Mar 22, 2019","1.530","1.530","1.560","1.520","366.70K","0.66%"
"Mar 21, 2019","1.520","1.560","1.560","1.520","641.60K","-2.56%"
"Mar 20, 2019","1.560","1.540","1.570","1.530","651.20K","1.30%"
"Mar 19, 2019","1.540","1.530","1.540","1.530","364.30K","0.00%"
"Mar 18, 2019","1.540","1.580","1.590","1.530","536.10K","-1.28%"
"Mar 15, 2019","1.560","1.610","1.610","1.560","1.00M","-2.50%"
"Mar 14, 2019","1.600","1.570","1.610","1.570","816.60K","1.91%"
"Mar 13, 2019","1.570","1.580","1.590","1.570","302.60K","-0.63%"
"Mar 12, 2019","1.580","1.580","1.610","1.570","487.20K","0.00%"
"Mar 11, 2019","1.580","1.620","1.640","1.570","1.85M","-1.25%"
"Mar 08, 2019","1.600","1.590","1.640","1.580","2.13M","0.63%"
"Mar 07, 2019","1.590","1.570","1.620","1.550","2.41M","1.92%"
"Mar 06, 2019","1.560","1.500","1.570","1.490","1.16M","4.70%"
"Mar 05, 2019","1.490","1.490","1.510","1.480","489.90K","-1.32%"
"Mar 04, 2019","1.510","1.510","1.540","1.470","773.00K","-0.66%"
"Mar 01, 2019","1.520","1.440","1.530","1.420","2.87M","7.04%"
"Feb 28, 2019","1.420","1.480","1.510","1.410","1.77M","-4.05%"
