Sentiment,RSI,EMAcross,MACD,WPR,ADX,CCI,CMO,ROC,Price.up
0,50.93622216,0.000985702,1.12159579,0.678571429,23.66284831,-1.909959072,-40.42553191,0.027398974,1
0,50.93622216,0.000657134,0.960580382,0.678571429,22.42304277,13.38112306,-40.42553191,0,1
0,10.82794229,-0.086228577,0.705045922,0.833333333,19.49039085,-35.35353535,-46.15384615,-0.027398974,1
0,9.926093787,-0.064152385,0.392052021,1,17.62821668,-235.6435644,-52.54237288,-0.09045711,1
0,9.926093787,-0.042768256,0.057530519,1,17.18613485,-200.3490401,-37.77777778,-0.074963038,0
0,34.48219881,-0.015178838,-0.255785274,1,19.39059656,-152.8561099,-31.70731707,-0.011904903,0
0,14.18282708,-0.056785892,-0.603098915,0.888888889,18.0823637,-101.0498688,-31.70731707,0.011904903,1
1,14.18282708,-0.037857261,-0.953451099,1,16.57683133,-158.463136,-39.13043478,-0.042819997,0
0,14.18282708,-0.025238174,-1.28622372,1,16.00287661,-124.1134752,-39.13043478,-0.0547249,0
-1,14.18282708,-0.016825449,-1.588450622,1,15.42762241,-102.2222222,-36.36363636,0,0
0,6.228050222,-0.031216966,-1.881085033,0.84,16.56179908,-62.22222222,-36.36363636,0.024692613,1
0,26.76566267,-0.014144644,-2.139541059,1,15.6295217,-88.99224806,-39.13043478,-0.006269613,0
0,10.12843997,-0.042763096,-2.406755914,0.961538462,14.87792735,-74.89711934,-45.45454545,-0.024692613,1
0,34.54141444,-0.015175397,-2.641914541,1,16.27514042,-77.34082397,-65,0,1
0,45.62030871,-0.003450265,-2.82964201,1,15.60652942,-97.34607219,-67.44186047,-0.025317808,0
0,45.62030871,-0.002300177,-2.971817866,0.875,16.00450684,-60,-56.52173913,0,0
0,78.44858561,0.025133216,-3.032453543,0.769230769,18.37832065,-53.84615385,-51.2195122,0.019048195,0
0,88.69006528,0.043422144,-2.992900278,0.538461538,21.89855121,10.85271318,-21.21212121,0.018692133,0
0,57.79311772,0.008948096,-2.914926979,0.384615385,20.72449176,64.72019465,-9.090909091,0.030962226,1
0,22.50804902,-0.054034603,-2.8982362,0.538461538,18.20220411,30.56768559,-14.28571429,0,1
0,48.6394727,-0.002689735,-2.865792497,1,16.40986877,-182.9545455,-35,-0.056441311,0
0,53.35798445,0.00487351,-2.808934246,0.555555556,16.42523028,-30.76923077,-2.857142857,-0.018692133,1
0,63.43555427,0.01658234,-2.713724356,0.666666667,17.62634071,-58.33333333,-5.555555556,0.019169916,0
0,63.43555427,0.011054893,-2.593264079,0.111111111,19.23022605,92.90123457,7.317073171,0.024845999,0
0,78.85481953,0.027369929,-2.427955286,0.111111111,19.47051556,98.71794872,-2.702702703,0.031155168,0
0,55.46512002,0.004913286,-2.257222836,0,18.63475038,166.4082687,22.22222222,0.024243612,1
0,69.1784327,0.016608857,-2.067357226,0.333333333,17.81139118,56.41025641,7.692307692,0,0
0,81.79283948,0.031072572,-1.841591386,0,20.83476551,126.8456376,19.04761905,0,0
0,50.67998538,0.000715048,-1.630132743,0,19.6715833,134.9593496,30,0.030213779,1
0,80.44055083,0.053810032,-1.357851993,0.153846154,21.85362791,78.32167832,17.94871795,-0.006006024,0
0,72.26448861,0.029206688,-1.068713999,0,21.66155763,186.6666667,30.43478261,0.029327615,1
0,37.74056866,-0.020528875,-0.839208669,0.555555556,18.73472641,-12.96296296,1.886792453,-0.018237588,0
0,79.4551241,0.099647417,-0.496032362,0.222222222,29.88167081,89.74358974,8.771929825,-0.02339288,0
0,80.60191357,0.073098278,-0.091153774,0,28.00632982,227.4509804,29.41176471,0.110256486,0
0,84.49622118,0.068732185,0.357149949,0,29.17324872,215.3201676,47.69230769,0.095847959,0
0,70.36910842,0.032488124,0.788291395,0,27.75850379,163.8728324,45.16129032,0.02710193,1
0,46.86347826,-0.005007918,1.147123816,0.125,26.16433422,107.0336391,40.625,-0.010810916,1
0,24.96938393,-0.050005278,1.375775648,0.166666667,23.84669424,81.84079602,33.33333333,-0.021622464,1
0,24.96938393,-0.033336852,1.507738456,0.583333333,21.76997015,-5.577689243,14.28571429,-0.061644163,0
0,48.27271047,-0.002224568,1.595907775,0.541666667,23.33307155,-1.299907149,10.44776119,-0.050430854,0
0,32.93095653,-0.021483045,1.621203536,0.375,22.16206668,26.68621701,22.3880597,0.028491956,1
0,49.10584335,-0.000988697,1.620190238,0.583333333,22.99981032,-26.72858617,8.823529412,-0.005763705,0
1,49.10584335,-0.000659131,1.59903154,0.583333333,21.28115568,-31.81818182,7.462686567,-0.028491956,0
0,8.749632307,-0.113772754,1.407946734,0.541666667,18.91355848,-29.57746479,12.12121212,0.005763705,1
0,7.641418561,-0.089181836,1.09710496,1,16.51139797,-166.0531697,-18.91891892,-0.084387392,0
0,22.38693032,-0.046121224,0.742221759,1,16.90786186,-157.3964497,-6.25,-0.090151097,0
0,19.99294919,-0.037414149,0.366252032,1,16.48934236,-138.2246377,-17.24137931,0,1
0,45.98550593,-0.004942766,0.023685539,1,18.34021879,-122.8691983,-52.17391304,-0.006309169,0
0,39.55949472,-0.009961844,-0.28996978,0.965517241,17.38454216,-91.79426777,-62.79069767,0,0
0,24.28706665,-0.026641229,-0.597702624,0.961538462,16.60789377,-76.49371069,-66.66666667,0.006309169,0
0,61.4722971,0.015572514,-0.836400721,0.96,18.99462157,-65.51724138,-64.1025641,0,0
0,42.62926587,-0.009618324,-1.046595244,0.85,18.53043517,-41.36657433,-55,0.012500163,1
