Sentiment,RSI,EMAcross,MACD,WPR,ADX,CCI,CMO,ROC,Price.change
0,10.87268104,-0.017736796,-1.117052574,0.928571429,14.29919113,-107.0157068,-42.85714286,0.01342302,1
0,38.15753844,-0.005157864,-1.492631704,1,15.83858071,-98.29222011,-51.02040816,-0.006734032,0
0,22.59446374,-0.013438576,-1.849900372,1,15.47918469,-81.6254417,-50,-0.01342302,0
0,68.11336569,0.014374283,-2.101902625,0.851851852,21.25218332,-49.78902954,-50,0.026668247,0
0,31.91650877,-0.020417145,-2.362819075,0.740740741,18.72679918,-26.32249841,-36.17021277,0.046212843,1
1,46.20926543,-0.00361143,-2.580249431,1,16.60221211,-80.62330623,-52.72727273,-0.047146778,0
0,32.54495205,-0.015740953,-2.79560464,0.9,15.56491988,-55.55555556,-41.81818182,-0.046212843,1
0,59.49464084,0.009506031,-2.929778865,1,14.58365506,-81.6362054,-45.76271186,-0.006920443,0
0,68.83341348,0.016337354,-2.967920388,0.838709677,16.31662431,-32.36009732,-43.33333333,0.006734032,0
0,76.84218842,0.020891569,-2.905643396,0.5,19.05457515,73.17554241,-32.30769231,0.067139303,0
0,83.28498993,0.023927713,-2.745829103,0,21.76440256,175,-12.28070175,0.052299499,0
0,83.28498993,0.015951809,-2.527141435,0,20.85148034,160.9195402,22.72727273,0.0319516,0
0,83.28498993,0.010634539,-2.277368136,0,20.3909283,138.8617886,27.27272727,0.01892801,0
0,83.28498993,0.007089693,-2.016100852,0,20.15126648,113.5964912,25.58139535,0.006269613,0
0,95.00660088,0.021393128,-1.705818531,0,23.99917581,94.83568075,23.80952381,0,0
0,66.87038288,0.007595419,-1.397879331,0,22.81514057,82.73572377,30,0,0
0,72.89151833,0.008396946,-1.094468875,0,23.21821497,106.5616798,34.88372093,0.018576386,0
0,88.52835565,0.022264631,-0.757496684,0,29.07249454,102.354399,30,0.024692613,0
0,37.12847664,-0.01182358,-0.495689847,0,25.88441237,126.2745098,31.70731707,0.030213779,1
1,37.12847664,-0.007882386,-0.293591135,0,23.15045678,118.8191882,74.19354839,0.024097552,1
0,37.12847664,-0.005254924,-0.138842634,0,20.7861106,112.8415301,71.42857143,0,1
0,89.34171875,0.063163384,0.176147329,0.473684211,27.23850042,-27.59211654,45.45454545,-0.055059777,0
0,95.25394293,0.108775589,0.76266604,0,35.59723326,347.7987421,73.13432836,0.164303051,0
0,96.20199425,0.092517059,1.531715745,0,34.98489475,234.3612335,71.875,0.229413164,0
0,96.83435039,0.075011373,2.396315869,0,37.16089953,172.9083665,72.30769231,0.029852963,0
0,97.1857707,0.056674249,3.277477453,0,34.55086867,145.25,73.91304348,0.048790164,0
0,98.4643337,0.071116166,4.191186448,0,37.22333535,123.8499646,75,0.047856021,0
0,98.79327727,0.060744111,5.089923889,0,36.90340516,130.3030303,78.57142857,0.073427469,0
